product_id,product_type_id,primary_product_category_id,product_name,brand_name,taxable,is_in_stock,color,product_price_type,product_price
"05HQF7H9I6GCPNA66","FINISHED_GOOD","Mobiles","intex qua (black)","INTEX","Y",\N,"black","AMAZON_PRICE,DEFAULT_PRICE,LIST_PRICE","18000.00,6299.00,64766.00"
"0DIF5XJC4928L","FINISHED_GOOD","Tablet","iBall 48-in-1 (CR-222) Black Card Reader (Black)","IBALL","Y",\N,"Black","AMAZON_PRICE,DEFAULT_PRICE,FK_PRICE,LIST_PRICE","299.00,2996.00,1200.00,3500.00"
"0KXWZHGSW8DC5ZG","FINISHED_GOOD","Tablet","lenovo tab2    ","LENOVO","Y","Y",\N,"AMAZON_PRICE,DEFAULT_PRICE,FK_PRICE,LIST_PRICE","222222.00,222222.00,222222.00,222222.00"
"1E161WMG6QWWYH","FINISHED_GOOD","Mobiles","sony (black)","SONY","Y","Y","black","AMAZON_PRICE,DEFAULT_PRICE,LIST_PRICE","4065.00,17000.00,19000.00"
"1OL9DQ585U1S","FINISHED_GOOD","Mobiles","Screen gaurd Moto G  ","GOOGLE","Y","Y",\N,"AMAZON_PRICE,DEFAULT_PRICE,FK_PRICE,LIST_PRICE","5999.00,5855.00,8998.00,5983.00"
"2D2PUOV2UOOWN4F","FINISHED_GOOD","Mobiles","moto g (black)","MOTOROLA","Y",\N,"black","AMAZON_PRICE,DEFAULT_PRICE,FK_PRICE,LIST_PRICE","120.00,5500.00,0.00,6000.00"
"2ZBBA15HA1O","FINISHED_GOOD","Mobiles","Samsung Gala  Black) (Midnight Black)","SAMSUNG","Y","Y","Midnight Black","AMAZON_PRICE,DEFAULT_PRICE,FK_PRICE,LIST_PRICE","5299.00,5200.00,5300.00,5310.00"
"2ZBBA15HA1O1","FINISHED_GOOD","Mobiles","Samsung Galaxy Star Pro S7262 (Midnight Black)","SAMSUNG","Y","Y","Midnight Black","AMAZON_PRICE,DEFAULT_PRICE,FK_PRICE,LIST_PRICE","5299.00,52995.00,5300.00,53102.00"
"2ZBBA15HA1O16","FINISHED_GOOD","Mobiles","Samsung Galaxy Star Pro S7262 (Midnight Black)","SAMSUNG","Y","N","Midnight Black","AMAZON_PRICE,DEFAULT_PRICE,FK_PRICE,LIST_PRICE","5299.00,4000.00,5300.00,5312.00"
"2ZBBA15HA1O19","FINISHED_GOOD","Mobiles","Samsung Galaxy Star Pro S7262 (Midnight Black)","SAMSUNG","Y","Y","Midnight Black","AMAZON_PRICE,DEFAULT_PRICE,FK_PRICE,LIST_PRICE","5299.00,5000.00,5300.00,52222.00"
"2ZBBA15HA1O2","FINISHED_GOOD","PrintersScanners","Samsung Gala  Black) (Midnight Black)","SAMSUNG","Y","Y","Midnight Black","AMAZON_PRICE,DEFAULT_PRICE,FK_PRICE,LIST_PRICE","5299.00,5000.00,5300.00,53109.00"
"2ZBBA15HA1O21","FINISHED_GOOD","PrintersScanners","Samsung Gala  Black) (Midnight Black)-duplicated item","SAMSUNG","Y","Y","Midnight Black","AMAZON_PRICE,DEFAULT_PRICE,FK_PRICE,LIST_PRICE","5299.00,5299.00,5300.00,5310.00"
"39DFADEG1UV49BB","FINISHED_GOOD","Mobiles","linovo  (white)","LENOVO","Y",\N,"white","DEFAULT_PRICE,LIST_PRICE","5600.00,6000.00"
"3TZ5E76CVRNKWTG1H","FINISHED_GOOD","Mobiles","Sony Ramk (Red)","SONY","Y","Y","Red","AMAZON_PRICE,DEFAULT_PRICE,LIST_PRICE","23000.00,23000.00,23499.00"
"4RMO7QJEWMM8EDGWO","FINISHED_GOOD","Mobiles","Sony Experia C (White)","SONY","Y","N","White","AMAZON_PRICE,DEFAULT_PRICE,FK_PRICE,LIST_PRICE","15049.00,17990.00,17989.00,17990.00"
"53ZS78DNZ1S","FINISHED_GOOD","Mobiles","Iphone6 (Black)","APPLE","Y","N","Black","AMAZON_PRICE,DEFAULT_PRICE,FK_PRICE,LIST_PRICE","50000.00,51000.00,60000.00,55000.00"
"55JZWUL08NWGP50","FINISHED_GOOD","Mobiles","Redmi 1S (Metal Grey)","REDMI","Y","Y","Metal Grey","AMAZON_PRICE,DEFAULT_PRICE,FK_PRICE,LIST_PRICE","600.00,5999.00,5900.00,5999.00"
"5K9VPTLILXJ4CF","FINISHED_GOOD","Mobiles","intex aqawa white (white)","INTEX","Y",\N,"white","DEFAULT_PRICE,LIST_PRICE","5000.00,5500.00"
"6AM85S9ZELJ49EV7","FINISHED_GOOD","PrintersScanners","Hp printer2550 (white)","HP","Y",\N,"white","DEFAULT_PRICE,LIST_PRICE","3250.00,3500.00"
"6TRFX0P653WG19","FINISHED_GOOD","Mobiles","sjfdsyjuy (ydsgfjyg)","BSNL","Y",\N,"ydsgfjyg","DEFAULT_PRICE,LIST_PRICE","45.00,7677.00"
"761R7JXKOQO","FINISHED_GOOD","Mobiles","lenovo tab3  ","LENOVO","Y","Y",\N,"AMAZON_PRICE,DEFAULT_PRICE,FK_PRICE,LIST_PRICE","333333.00,333333.00,333333.00,333333.00"
"B5BBVHH63ZSW","FINISHED_GOOD","Mobiles","KARBOON S2 (WHITE)","KARBONN","Y",\N,"WHITE","DEFAULT_PRICE,LIST_PRICE","7000.00,9000.00"
"BEQR4V5RM2GW","FINISHED_GOOD","Mobiles","sony sp white (black)","SONY","Y","Y","black","AMAZON_PRICE,DEFAULT_PRICE,LIST_PRICE","14150.00,17000.00,19000.00"
"CF563KQKSQO0YH","FINISHED_GOOD","Mobiles","sony ","SONY","Y",\N,\N,"DEFAULT_PRICE,LIST_PRICE","7000.00,9000.00"
"CIWCKY1I4N40K","FINISHED_GOOD","Mobiles","SonyZ3  (Black)","SONY","Y",\N,"Black","DEFAULT_PRICE,LIST_PRICE","41000.00,43000.00"
"CVCDI6UG98N4525Q","FINISHED_GOOD","Mobiles","LENOVO A390 (BLACK)","LENOVO","Y",\N,"BLACK","DEFAULT_PRICE,LIST_PRICE","5600.00,6000.00"
"CZD9L8M3F2TC","FINISHED_GOOD","Tablet","iBall P1 (Black)","IBALL","Y",\N,"Black","DEFAULT_PRICE,LIST_PRICE","7999.00,9999.00"
